EventFrame,StartTime,EndTime,AnodeNumber,Shift,FineCoke,MediumCoke,CoarseCoke,FineButt,CoarseButt,BallMillFraction,GreenScrap,SetPitch,RunningPitch,DryMix,FreshPaste,TotalPaste,DryMixTemperature,Speed,Current,MixerTemperature,PitchTemperature,IntPower,KneaderTorque,KneaderSpeed,FlapPOS,WaterFlowRate,CoolerPower,PasteLoad,Gateposition,PasteTemperature,Weight,Height,Density,DryDensity,Vaccum,AirPressure,BallMillFeedRate,TransferHopperResidualWeight,VC3Current,VC4Current,ClassifierRejectFlow,ClassifierSpeed,TotalVibratingTime,TimeforSpeedSlow,TimeforSpeedFast,SpeedSlow,SpeedFast,H,D,M,Code,PSCExclude,ManualGood,ShiftDate,Status,VC Current
VC_Report_GAP2_2025-01-15 14:43:36,2025-01-15 14:43:36.093,2025-01-15 14:43:38.063,44119.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51745224,28.47799873,33.30759811,35.02152252,166.6370239,3.582157612,41.55131149,177.0,197.7055511,325.7425842,46.14127731,47.0,40.0,488.3000183,114.7029724,2145.200195,35.5,-31.50000763,1031.442871,598.8273926,1.646958709,1.408149719,48.51025391,3.5,0.003778901,41.08681107,78.46176147,76.59699249,4.330037594,856.5463867,42.51499939,10.0,32.51499939,1036.473389,1445.537476,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.59699249
VC_Report_GAP2_2025-01-15 14:45:20,2025-01-15 14:45:20.073,2025-01-15 14:45:22.150,34252.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49986935,28.47799873,33.30759811,35.05868912,167.2818451,3.658456087,42.77974701,178.0,197.6609192,313.0513,11.8661232,47.0,41.0,330.6000061,111.1568756,2137.600098,37.38095093,-31.50000763,1035.005981,594.3440552,1.666369081,1.42474556,39.00976563,3.5,0.003190138,39.41713333,76.3957901,76.59699249,4.016478539,856.9836426,35.01800156,10.0,25.01800156,1042.193604,1430.757202,0.0,2.0,2.0,1.0,1.0,0,1/15/2025,False,76.3957901
VC_Report_GAP2_2025-01-15 14:47:22,2025-01-15 14:47:22.087,2025-01-15 14:47:24.163,44120.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49618626,28.47799873,33.30759811,35.05966187,168.1474762,3.63574481,44.7120018,179.0,197.7948608,329.9730225,49.13350677,47.0,43.0,405.5,111.1890106,2137.200195,41.09523773,-31.50000763,1034.316284,592.3105469,1.671553135,1.42917788,48.2746582,3.5,0.003778901,40.3128624,76.3957901,76.59699249,3.836736202,856.8087158,75.02100372,10.0,65.02100372,1036.606201,1443.140137,0.0,2.0,2.0,1.0,1.0,0,1/15/2025,False,76.59699249
VC_Report_GAP2_2025-01-15 14:49:06,2025-01-15 14:49:06.113,2025-01-15 14:49:08.083,34253.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51697063,28.47799873,33.30759811,35.00066376,168.4213257,3.662793875,43.95604324,179.0,197.6820526,296.1296082,10.11378479,47.0,47.0,361.8000183,111.774437,2084.0,38.11904526,-31.50000763,1037.498779,598.7330322,1.656915545,1.416662812,37.75354004,3.5,0.003484296,38.26030731,42.84959793,75.59590149,3.609558821,857.1877441,35.02500153,10.0,25.02500153,1041.939819,1431.715576,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,42.84959793
VC_Report_GAP2_2025-01-15 14:50:50,2025-01-15 14:50:50.140,2025-01-15 14:50:52.107,44121.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50475693,28.47799873,33.30759811,35.04135132,168.2799988,3.640848875,44.7054863,177.0,197.7093353,287.6687622,17.21149063,47.0,46.0,365.8000183,109.6949844,2052.399902,31.54761505,-31.50000763,1035.461304,596.8173828,1.659501433,1.418873668,49.84509277,3.5,0.003484296,38.57410431,42.84959793,75.59590149,2.979021788,856.4880371,75.01000214,10.0,65.01000214,1036.766602,1443.081665,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,75.59590149
VC_Report_GAP2_2025-01-15 14:52:36,2025-01-15 14:52:36.137,2025-01-15 14:52:38.103,34254.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50152969,28.47799873,33.30759811,35.0710907,168.1386566,3.663049221,45.56734085,176.0,197.6723785,300.3600464,32.10489655,47.0,46.0,463.2000122,109.8351212,2054.399902,26.76190186,-31.50000763,1047.45813,603.2005615,1.659204841,1.41862011,36.73278809,3.5,0.003484296,38.24859238,44.97444916,75.11499023,2.971943378,857.1002808,63.05500031,10.0,53.05500031,1042.523682,1431.657471,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,44.97444916
VC_Report_GAP2_2025-01-15 14:54:28,2025-01-15 14:54:28.130,2025-01-15 14:54:30.100,44122.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50379467,28.47799873,33.30759811,34.99999237,166.8578644,3.794721365,45.88666534,176.0,197.7430878,313.0513,25.59032059,47.0,46.0,465.6000061,108.9207153,2081.600098,26.83332825,-31.50000763,1036.071411,601.8112183,1.645332694,1.406759501,51.10131836,3.5,0.003484296,39.86676025,44.97444916,77.30364227,2.820587873,857.1295166,75.01699829,10.0,65.01699829,1036.88855,1443.900269,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,77.30364227
VC_Report_GAP2_2025-01-15 14:56:02,2025-01-15 14:56:02.140,2025-01-15 14:56:04.110,34255.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.30000019,14.28773975,28.47799873,33.22986984,34.96638107,166.6546936,3.699795008,45.55755997,175.0,197.6966095,304.5904541,10.6674614,47.0,46.0,309.0,110.0779724,2080.399902,25.2142868,-31.50000763,1041.168213,602.0817261,1.652610183,1.416286945,37.20385742,3.5,0.003484296,38.06360245,81.10188293,77.30364227,2.798889875,856.6047363,64.45600128,10.0,54.45600128,1042.20459,1432.12207,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,81.10188293
VC_Report_GAP2_2025-01-15 14:57:48,2025-01-15 14:57:48.137,2025-01-15 14:57:50.107,44123.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.30000019,14.29645729,28.47799873,33.22986984,34.97658539,166.6370239,3.737306356,45.68138504,174.0,197.6702118,291.8992004,22.24762344,47.0,46.0,305.3000183,108.4046173,2091.200195,23.69047546,-31.50000763,1034.508301,603.2598267,1.638514996,1.404207349,49.05981445,3.5,5.297757626,40.07868195,81.10188293,75.95413971,2.7572999,857.1002808,75.0059967,10.0,65.0059967,1036.349854,1443.637207,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,75.95413971
VC_Report_GAP2_2025-01-15 14:59:58,2025-01-15 14:59:58.150,2025-01-15 15:00:00.120,34256.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.30000019,14.29707241,28.47799873,33.22986984,34.96383667,166.2218628,3.788852453,47.27312851,174.0,197.6341553,317.2817383,15.4768219,47.0,48.0,365.3999939,107.7976151,2098.800049,22.35713959,-31.50000763,1038.580688,602.4782715,1.647310615,1.411745191,37.51794434,3.5,5.255064011,38.24274445,82.16676331,75.95413971,4.818667889,857.1295166,58.60699844,10.0,48.60699844,1041.538086,1431.30896,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,82.16676331
VC_Report_GAP2_2025-01-15 15:17:44,2025-01-15 15:17:44.090,2025-01-15 15:17:46.060,34261.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51170921,28.47799873,33.30759811,34.99089432,165.8067169,3.698263645,44.92868423,175.0,197.7222443,283.4383545,17.26155853,47.0,46.0,285.3999939,109.0334778,2083.200195,23.45237732,-31.50000763,1042.451538,602.2897949,1.654018998,1.414186239,37.43945313,3.5,0.003778901,38.11862946,82.59368896,76.22894287,4.755373478,857.5375366,44.75099945,10.0,34.75099945,1041.128906,1431.715576,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,82.59368896
VC_Report_GAP2_2025-01-15 15:19:16,2025-01-15 15:19:16.087,2025-01-15 15:19:18.053,44129.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49405479,28.47799873,33.30759811,35.01436996,166.4338684,3.73220253,45.05902481,175.0,197.638855,270.7470703,48.08504486,47.0,45.0,345.8000183,108.9131851,2138.0,25.19047546,-31.50000763,1035.665039,600.3076172,1.64921689,1.410080433,46.46887207,3.5,0.003778901,38.8679924,82.59368896,76.86198425,4.776345253,856.6047363,63.74399948,10.0,53.74399948,1037.312988,1443.023193,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.86198425
